Geography,Geographic Area Name,Estimate!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),"House Hold Less than $50,000","House Hold $50,000 to $99,999","House Hold $100,000 to $149,999","House Hold $150,000 to $199,999","House Hold $200,000 or more","Families Less than $50,000","Families $50,000 to $99,999","Families $100,000 to 149,999","Families $150,000 to $199,999","Families $200,000 or more","Married-couple Families Less than $50,000","Married-couple Families $50,000 to $99,999","Married-couple Families $100,000 to 149,999","Married-couple Families $150,000 to $199,999","Married-couple Families $200,000 or more","Nonfamily households Less than $50,000","Nonfamily households $50,000 to $99,999","Nonfamily households $100,000 to 149,999","Nonfamily households $150,000 to $199,999","Nonfamily households $200,000 or more",Vote Count,Biden_proportion,average_Biden_proportion
1400000US53001950100,"CensusTract9501,AdamsCounty,Washington",52589,70244,73250,27684,48.2,31.5,11.5,8.2,0.6,36.0,37.6,18.5,6.8,1.1,24.1,43.6,21.8,8.9,1.5,69.6,18.8,2.9,8.8,0.0,1511,"[0.1496063  0.28915663 0.30985915 0.1744186  0.25373134 0.26130653
 0.14880952 0.23696682]",0.2279818637125418
1400000US53001950200,"CensusTract9502,AdamsCounty,Washington",59886,64046,70000,22679,40.4,50.2,5.7,1.6,2.1,28.5,59.7,7.7,1.2,2.8,19.1,67.0,9.3,1.1,3.4,70.8,25.4,0.5,2.7,0.5,1522,"[0.19444444 0.10869565 0.24369748 0.11842105 0.19354839 0.542
 0.28181818 0.15789474 0.20481928 0.09756098 0.15151515 0.22857143]",0.2102488972336137
1400000US53001950301,"CensusTract9503.01,AdamsCounty,Washington",39928,40425,53523,-,60.3,29.0,4.0,6.8,0.0,60.5,32.8,5.0,1.8,0.0,48.5,42.5,6.6,2.3,0.0,59.8,13.7,0.0,26.5,0.0,1532,[0.15436242 0.22727273 0.36842105],0.2500187320038962
1400000US53001950302,"CensusTract9503.02,AdamsCounty,Washington",58884,60294,64875,21611,36.2,42.9,14.2,2.6,4.2,27.8,47.7,16.5,3.0,4.9,22.4,48.8,19.2,3.7,6.0,87.4,12.6,0.0,0.0,0.0,1536,[0.26368159],0.263681592039801
1400000US53001950303,"CensusTract9503.03,AdamsCounty,Washington",50915,51905,86339,28458,45.2,24.7,14.2,10.1,5.7,38.9,27.5,15.9,11.3,6.3,24.4,27.9,21.4,16.7,9.4,100.0,0.0,0.0,0.0,0.0,1540,[0.31007752 0.27440633],0.2922419259168354
1400000US53001950400,"CensusTract9504,AdamsCounty,Washington",63750,63558,74292,38243,45.60000000000001,32.6,12.2,3.9,5.8,46.4,30.2,11.2,4.9,7.4,27.2,38.6,19.0,8.4,6.7,69.9,26.4,3.8,0.0,0.0,1541,[0.52956989 0.41925466],0.4744122754291057
1400000US53001950500,"CensusTract9505,AdamsCounty,Washington",48542,47361,67361,-,53.3,32.7,11.9,0.0,2.2,51.1,34.4,11.8,0.0,2.7,28.5,47.1,19.9,0.0,4.6,84.5,12.7,2.7,0.0,0.0,1546,[0.3897281  0.54385965 0.41324201 0.40697674],0.4384516247795027
1400000US53003960100,"CensusTract9601,AsotinCounty,Washington",73942,86042,99766,41389,32.5,30.1,17.4,10.3,9.7,25.5,30.0,19.8,13.3,11.4,19.5,30.6,22.3,14.3,13.3,58.400000000000006,22.7,11.2,2.4,5.2,1604,[0.26689189 0.35093168 0.14084507 0.32441472 0.33333333 0.19809069],0.2690845634182604
1400000US53003960200,"CensusTract9602,AsotinCounty,Washington",72988,94665,100179,49683,32.6,32.7,19.8,9.0,5.9,27.200000000000003,27.0,24.5,12.8,8.4,22.4,27.6,28.0,12.6,9.6,51.5,44.7,3.7,0.0,0.0,1611,"[0.32954545 0.35087719 0.43518519 0.27116564 0.3651192  0.33660934
 0.3619403 ]",0.3500631869986259
1400000US53003960300,"CensusTract9603,AsotinCounty,Washington",38077,55369,57400,27614,59.2,32.1,7.6,0.0,1.0,40.1,45.1,14.0,0.0,0.9,27.3,51.1,20.2,0.0,1.5,79.5,18.5,0.8,0.0,1.1,1618,[0.49032258 0.42637363 0.43939394 0.43322476],0.4473287255282632
1400000US53003960400,"CensusTract9604,AsotinCounty,Washington",38777,43077,50707,30750,65.4,25.1,7.3,1.2,1.0,58.3,30.5,7.7,1.9,1.6,48.400000000000006,36.0,10.3,2.9,2.4,78.9,14.5,6.7,0.0,0.0,1627,[0.3930131],0.3930131004366812
1400000US53003960500,"CensusTract9605,AsotinCounty,Washington",42639,51714,81563,35584,59.2,30.5,8.4,1.9,0.0,46.4,42.5,9.6,1.5,0.0,38.4,46.0,13.4,2.1,0.0,75.89999999999999,16.6,7.4,0.0,0.0,1634,[0.44444444 0.44471154 0.44303797 0.44391408],0.4440270096837779
1400000US53003960600,"CensusTract9606,AsotinCounty,Washington",53947,62174,70043,42574,48.0,35.2,11.0,2.5,3.5,43.7,32.5,16.6,3.8,3.5,40.1,32.6,18.8,4.5,4.2,56.1,40.4,0.0,0.0,3.5,1640,[0.3243762  0.34942085 0.35540839],0.3430684791859812
1400000US53005010100,"CensusTract101,BentonCounty,Washington",104500,116182,125938,69236,14.0,33.9,24.5,18.9,8.5,8.1,32.2,26.2,21.4,12.1,3.7,29.1,30.2,24.6,12.4,34.7,36.0,16.3,13.1,0.0,16,"[0.53430353 0.524      0.56010929 0.57650273 0.55797101 0.59536082
 0.55369928]",0.5574209542008608
1400000US53005010201,"CensusTract102.01,BentonCounty,Washington",94250,114640,117817,66308,29.0,23.5,24.2,12.4,10.8,21.6,18.7,30.9,12.9,15.9,9.8,23.1,36.7,10.8,19.7,42.2,32.3,12.3,11.4,1.8,29,"[       nan 0.38875306 0.39499456 0.44607843 0.39963834 0.37556561
 0.25      ]",
1400000US53005010203,"CensusTract102.03,BentonCounty,Washington",59427,59833,72596,58750,41.2,24.3,22.3,7.8,4.4,42.7,20.1,27.1,3.4,6.6,29.5,27.8,27.8,5.1,9.8,43.4,26.0,15.0,14.4,1.2,33,[0.4902507  0.57400722 0.45983936 0.47515528],0.4998131383820652
1400000US53005010204,"CensusTract102.04,BentonCounty,Washington",27935,60313,69438,26274,60.0,28.6,8.3,2.1,1.1,48.6,42.6,6.8,1.9,0.0,28.8,55.9,12.0,3.3,0.0,67.5,19.2,9.3,2.2,1.8,35,[0.54761905 0.46511628 0.57635468],0.5296966688305903
1400000US53005010300,"CensusTract103,BentonCounty,Washington",72500,77615,71793,56324,22.2,49.5,17.9,8.6,1.8,16.1,53.2,19.1,8.8,2.8,10.9,52.2,17.0,15.1,4.8,34.8,46.6,12.1,6.3,0.0,37,[0.4175     0.44214876 0.3832021  0.39181287 0.42838019],0.4126087825963038
1400000US53005010400,"CensusTract104,BentonCounty,Washington",67074,66211,77500,51400,40.5,40.0,13.0,3.2,3.3,44.400000000000006,40.3,4.2,5.0,6.2,22.6,54.5,8.3,9.8,4.8,48.0,32.5,18.4,1.2,0.0,49,[0.48241206 0.44933921 0.38215103 0.4400978 ],0.438500024152313
1400000US53005010500,"CensusTract105,BentonCounty,Washington",61801,75486,87880,48846,39.900000000000006,36.5,13.7,7.7,2.4,34.900000000000006,35.599999999999994,17.7,8.2,3.7,11.9,44.0,26.8,12.4,4.9,51.8,38.2,5.2,4.9,0.0,65,[0.46015424 0.48680352 0.46575342 0.47668394],0.472348780797049
1400000US53005010600,"CensusTract106,BentonCounty,Washington",56544,58824,75694,47283,41.9,36.3,15.2,3.3,3.4,37.8,36.0,19.0,4.2,3.0,30.4,28.1,28.7,7.5,5.3,55.7,32.0,7.9,0.0,4.3,80,[0.458159   0.44495413 0.40705128 0.42763158 0.51208459],0.4499761154799864
1400000US53005010701,"CensusTract107.01,BentonCounty,Washington",70750,81157,82269,51136,25.700000000000003,43.2,15.0,7.2,9.0,15.5,52.6,14.3,10.6,6.9,13.5,54.5,14.7,11.0,6.3,47.9,35.6,5.3,0.0,11.1,91,[0.61314985 0.23429952        nan 0.27330508],
1400000US53005010703,"CensusTract107.03,BentonCounty,Washington",67500,80096,91375,44028,38.5,31.9,12.9,8.0,8.7,32.2,29.3,13.8,10.9,13.7,18.0,35.0,16.1,12.7,18.2,53.0,35.2,8.9,2.9,0.0,98,"[0.34482759 0.125      0.42715232 0.68307692 0.37423313 0.53941909
 0.35576923 0.33704453 0.33722871 0.22544952]",0.374920103874824
1400000US53005010705,"CensusTract107.05,BentonCounty,Washington",115660,118900,122174,64737,13.5,28.4,28.3,17.9,11.9,13.8,24.2,27.7,19.8,14.7,9.3,23.9,29.6,21.5,15.7,29.6,38.5,22.0,9.9,0.0,99,"[0.34279919 0.35119048 0.36858006 0.40920097 0.34295416 0.36774194
 0.30791789]",0.3557692396309805
1400000US53005010707,"CensusTract107.07,BentonCounty,Washington",111108,112750,116000,87443,5.7,33.4,35.2,9.7,16.1,3.3000000000000003,32.0,39.1,9.4,16.1,2.4,30.200000000000003,41.0,9.3,17.0,17.5,46.1,15.2,5.5,15.8,100,[0.30650155 0.36242424 0.35100548 0.4       ],0.3549828187181383
1400000US53005010708,"CensusTract107.08,BentonCounty,Washington",107670,129861,131500,33194,24.4,17.0,25.1,20.6,12.8,15.7,16.2,27.6,25.1,15.4,11.4,18.0,29.6,25.8,15.2,61.49999999999999,20.200000000000003,12.6,2.8,2.8,101,[0.27555556 0.32432432 0.23913043 0.38473282],0.3059357847724924
1400000US53005010807,"CensusTract108.07,BentonCounty,Washington",106607,112250,114455,59563,12.5,30.9,40.2,8.4,8.0,17.1,22.4,39.7,10.6,10.2,9.2,20.5,46.2,12.3,11.8,14.5,71.8,13.7,0.0,0.0,107,[0.38235294        nan 0.23097826 0.18110236 0.         0.1559633 ],
1400000US53005010809,"CensusTract108.09,BentonCounty,Washington",75688,82245,98480,51354,30.3,38.400000000000006,22.1,4.9,4.2,28.7,30.2,30.8,4.3,6.0,21.8,29.7,37.3,3.3,7.8,45.3,48.5,2.0,4.3,0.0,108,[0.46920821 0.44357213 0.39058824 0.40399002],0.426839650228558
1400000US53005010810,"CensusTract108.10,BentonCounty,Washington",96458,111351,115833,67905,21.3,30.2,19.7,13.7,15.1,15.4,24.4,25.7,15.1,19.3,15.0,25.4,21.3,18.0,20.3,35.1,46.6,5.4,10.1,2.7,109,"[0.44822006 0.46189918 0.29032258 0.46292948 0.41928251 0.37378641
 0.32227488]",0.3969593001170092
1400000US53005010811,"CensusTract108.11,BentonCounty,Washington",166446,165735,167304,91339,8.2,16.3,18.6,19.7,37.3,6.4,16.2,20.9,20.3,36.2,5.6000000000000005,13.6,21.7,21.3,37.9,23.8,34.9,4.8,17.5,19.0,110,[0.40901503 0.43033854 0.39772727 0.         0.30276817 0.29674797],0.306099495500886
1400000US53005010814,"CensusTract108.14,BentonCounty,Washington",148194,161154,165000,81250,5.9,22.2,23.2,20.2,28.5,4.4,20.9,23.8,20.8,30.1,4.5,18.700000000000003,23.9,21.2,31.7,32.1,45.6,12.3,9.9,0.0,111,[0.27832168 0.21546961 0.28401361        nan],
1400000US53005010815,"CensusTract108.15,BentonCounty,Washington",90078,104375,118042,51620,25.3,29.2,18.0,10.2,17.3,18.3,28.7,19.0,12.6,21.4,12.9,26.9,22.6,12.8,24.8,47.5,31.200000000000003,14.8,2.7,3.7,112,"[0.24025974 0.39198606 0.34332425 0.4040404  0.42256214 0.40689198
 0.34913793 0.43546971 0.33079848]",0.3693856334476975
1400000US53005010816,"CensusTract108.16,BentonCounty,Washington",82321,116667,118976,24125,33.2,27.3,24.0,4.0,11.6,5.8,34.1,35.0,6.8,18.3,4.8,28.3,41.1,7.9,17.8,73.7,17.2,7.7,0.0,1.7,113,[0.40152964 0.34725849 0.32348112 0.36486486 0.3806735 ],0.3635615206136666
1400000US53005010817,"CensusTract108.17,BentonCounty,Washington",117813,141133,150462,-,24.4,19.3,16.6,20.6,19.3,14.6,18.6,18.7,22.8,25.3,12.4,18.5,18.5,22.1,28.5,52.10000000000001,25.6,8.1,14.2,0.0,114,"[0.45966709 0.48289474 0.3880597  0.39811912 0.35893155 0.42774566
 0.33333333 0.23076923]",0.3849400544364626
1400000US53005010818,"CensusTract108.18,BentonCounty,Washington",109485,130726,130167,50616,25.3,21.5,24.2,18.3,10.7,19.1,12.0,47.7,7.8,13.3,17.5,16.1,41.2,7.5,17.8,45.4,37.0,9.1,3.9,4.7,115,[0.38014528 0.43426295 0.45384615 0.34      ],0.4020635951259221
1400000US53005010819,"CensusTract108.19,BentonCounty,Washington",130197,137543,139353,31951,19.5,11.1,37.5,10.7,21.3,7.8,9.2,46.0,11.1,26.0,8.2,9.5,43.5,11.7,27.2,72.4,20.0,7.6,0.0,0.0,116,[0.51226158 0.42098765 0.44385027 0.47087379 0.28723404],0.4270414662086194
1400000US53005010820,"CensusTract108.20,BentonCounty,Washington",62269,95653,90288,59988,21.1,51.2,20.6,7.1,0.0,16.5,37.7,29.5,16.3,0.0,13.8,45.2,29.3,11.7,0.0,26.700000000000003,58.1,14.4,0.7,0.0,117,[0.47175141 0.49834983 0.4109589  0.48071625],0.465444101241498
1400000US53005010901,"CensusTract109.01,BentonCounty,Washington",58888,64286,86750,39304,45.0,41.8,10.2,1.0,2.0,36.5,47.5,10.5,2.2,3.3,12.4,66.1,16.4,0.0,5.1,60.4,33.1,5.5,0.0,1.0,120,"[0.33333333 0.325      0.3986711  0.38978102 0.44353183 0.55454545
 0.54117647]",0.4265770291751069
1400000US53005010902,"CensusTract109.02,BentonCounty,Washington",55381,54280,61944,31907,45.2,33.7,17.8,2.7,0.6,44.0,30.6,20.5,3.9,0.9,29.700000000000003,48.7,13.6,6.9,1.2,66.9,25.8,7.3,0.0,0.0,123,[0.421875   0.3887468  0.36964981 0.44278607 0.43979058],0.4125696508168993
1400000US53005011001,"CensusTract110.01,BentonCounty,Washington",55609,57347,65547,-,39.6,47.8,5.9,6.1,0.5,34.2,46.9,9.0,9.3,0.8,18.8,56.7,11.5,11.9,1.0,55.7,44.3,0.0,0.0,0.0,140,[0.37617555 0.38082902 0.41399417 0.45425868 0.42433234 0.43865031],0.4147066765450956
1400000US53005011002,"CensusTract110.02,BentonCounty,Washington",45667,54146,71202,35306,56.00000000000001,32.3,5.4,4.1,2.1,46.2,40.6,5.6,6.4,1.2,28.7,49.9,7.4,11.7,2.2,75.0,18.9,1.9,1.1,3.3,143,[0.47138554 0.52336449 0.33795014 1.         0.41370558],0.5492811500820967
1400000US53005011100,"CensusTract111,BentonCounty,Washington",64106,72120,78646,46786,32.2,38.3,22.7,1.8,5.0,28.5,37.4,25.1,2.4,6.6,26.6,32.9,30.3,3.0,7.3,50.6,42.2,7.2,0.0,0.0,146,"[0.35217391 0.41647059 0.43816254 0.38461538 0.38588235 0.31132075
 0.40290381 0.41059603]",0.3877656719330326
1400000US53005011201,"CensusTract112.01,BentonCounty,Washington",39127,45298,63494,24514,61.2,31.1,5.0,2.7,0.0,55.6,33.400000000000006,7.1,3.9,0.0,39.7,46.2,11.3,2.8,0.0,74.4,25.6,0.0,0.0,0.0,158,[0.5175     0.48011364 0.49109415],0.4962359279821111
1400000US53005011202,"CensusTract112.02,BentonCounty,Washington",27083,37093,50721,16519,84.6,10.4,3.3,0.0,1.8,81.30000000000001,15.9,2.8,0.0,0.0,44.2,47.3,8.5,0.0,0.0,88.9,2.7,4.0,0.0,4.3,159,[0.53865979 0.58888889],0.5637743413516609
1400000US53005011300,"CensusTract113,BentonCounty,Washington",45769,51389,70556,29227,57.3,28.8,10.3,1.4,2.2,49.4,34.2,10.8,1.8,3.7,34.6,36.1,20.5,3.5,5.3,81.0,14.8,4.2,0.0,0.0,163,[0.43504532 0.45454545 0.49028078 0.39166667],0.4428845539926155
1400000US53005011401,"CensusTract114.01,BentonCounty,Washington",46786,52273,62721,27412,54.1,33.099999999999994,7.3,2.0,3.5,48.8,35.2,9.4,2.9,3.5,37.0,39.9,13.1,4.0,6.1,77.9,17.0,1.8,0.0,3.4,170,[0.34384858 0.43454545 0.44594595],0.4081133269776804
1400000US53005011402,"CensusTract114.02,BentonCounty,Washington",86694,90338,92450,44438,18.6,42.4,23.8,10.1,5.1,13.3,43.7,24.6,14.2,4.3,9.3,46.0,25.2,14.2,5.3,51.3,31.0,16.1,1.7,0.0,173,"[0.26415094 0.29435484 0.32150776 0.43333333 0.27715356 0.37047354
 0.30564263 0.30878187]",0.3219248093181881
1400000US53005011501,"CensusTract115.01,BentonCounty,Washington",69093,67816,74671,31506,37.9,32.7,20.7,5.5,3.2,38.7,32.5,22.2,3.5,3.2,25.6,38.5,27.8,3.5,4.5,64.3,19.3,0.0,13.2,3.2,185,[0.25291829 0.30615942 0.3062201  0.24579832 0.26683938 0.5483871 ],0.3210537663769408
1400000US53005011504,"CensusTract115.04,BentonCounty,Washington",80849,77039,83750,81143,26.9,39.2,16.3,11.2,6.4,27.500000000000004,34.2,17.9,13.9,6.4,21.8,36.1,17.8,16.6,7.6,29.2,60.1,4.5,0.0,6.2,186,[0.30205279 0.31043257],0.3062426779491541
1400000US53005011505,"CensusTract115.05,BentonCounty,Washington",68889,100109,100797,50120,31.1,31.9,19.0,16.9,1.2,22.6,27.0,23.9,25.4,1.0,20.1,27.1,24.9,26.7,1.2,49.6,39.5,9.3,0.0,1.6,187,[0.37765957 0.39335664 0.35818713 0.4004065 ],0.3824024640981732
1400000US53005011506,"CensusTract115.06,BentonCounty,Washington",99531,117382,126971,50987,13.2,37.1,20.1,13.8,15.8,5.5,35.1,22.7,17.1,19.6,5.4,29.5,25.2,18.3,21.7,45.2,47.1,7.7,0.0,0.0,188,"[0.33752244 0.31168831 0.37218814 0.31789137 0.35426009 0.31111111
 0.34575569        nan 0.35211268]",
1400000US53005011600,"CensusTract116,BentonCounty,Washington",66607,77614,96250,-,32.7,40.8,23.1,0.6,2.8,15.3,50.0,29.8,1.2,3.6,11.5,42.4,39.2,1.3,5.7,76.80000000000001,18.8,4.5,0.0,0.0,189,"[0.         0.04       0.24489796 0.25714286 0.10714286 0.18951613
 0.16              nan 0.24369748]",
1400000US53005011701,"CensusTract117.01,BentonCounty,Washington",59414,53088,75551,45903,43.8,34.3,19.9,1.9,0.0,41.0,36.7,22.3,0.0,0.0,24.9,49.4,25.8,0.0,0.0,56.2,24.1,9.6,10.2,0.0,201,[0.50243112 0.45454545 0.6011236 ],0.519366722788499
1400000US53005011702,"CensusTract117.02,BentonCounty,Washington",56322,62857,70440,20772,44.8,38.5,15.3,1.4,0.0,28.9,49.8,19.3,2.0,0.0,27.2,47.9,22.3,2.5,0.0,83.1,12.1,4.9,0.0,0.0,203,"[0.61592506 0.50059737 0.47598253 0.40897756 0.57632399 0.56309148
 0.43875278 0.5443299  0.41992188]",0.5048780605593672
1400000US53005011801,"CensusTract118.01,BentonCounty,Washington",61706,86615,87344,51381,18.3,48.1,9.3,12.6,11.7,18.200000000000003,54.9,10.6,2.7,13.5,12.5,51.900000000000006,14.1,3.6,17.9,18.9,81.0,0.0,0.0,0.0,209,[0.22149837 0.         0.35353535 0.16666667 0.32478632 0.41165414],0.2463568086103659
1400000US53005011802,"CensusTract118.02,BentonCounty,Washington",58818,61458,76875,35400,48.2,35.5,8.0,6.6,1.7,39.1,39.8,10.3,8.5,2.2,26.5,47.400000000000006,12.8,10.5,2.7,79.2,20.8,0.0,0.0,0.0,211,"[0.35733333 0.57861635        nan 0.5        0.         0.26666667
 0.32634338]",
1400000US53005011900,"CensusTract119,BentonCounty,Washington",58853,74375,81220,36310,37.7,40.4,18.1,2.8,0.9,24.8,46.7,23.3,4.5,0.8,18.2,47.6,27.8,5.5,0.9,65.3,27.4,6.8,0.0,0.6,216,"[0.40449438 0.2807971  0.                nan 0.24577861 0.34645669
 0.40840841 0.28222222 0.3481717  0.1958042 ]",
1400000US53005012000,"CensusTract120,BentonCounty,Washington",-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,[0.42544987 0.23809524 0.4               nan 0.        ],
1400000US53007960100,"CensusTract9601,ChelanCounty,Washington",49844,70417,80294,24659,50.0,27.0,15.5,3.8,3.7,38.9,27.1,22.2,5.6,6.2,31.5,27.9,25.7,7.1,7.8,71.1,26.6,1.1,1.1,0.0,1605,"[0.79310345 0.70188679 0.7092437  0.56145675 0.46505376 0.66374269
 0.43076923 0.57768924 0.21086262 0.49164678 0.26938776 0.70261438
 0.47142857 0.29384437 0.4068323  0.36016371]",0.5068578810972436
1400000US53007960201,"CensusTract9602.01,ChelanCounty,Washington",65813,88859,96641,26563,40.4,26.4,15.0,11.9,6.2,25.5,31.1,18.7,17.0,7.6,21.4,30.8,20.1,19.5,8.1,68.5,19.5,8.0,2.2,1.6,1614,"[0.89937759 0.68018721 0.5584563  0.75583864 0.38452787 0.4970111
 0.67105263 0.58501441 0.48961039 0.7196738  0.62180747 0.65393519]",0.6263743832800542
1400000US53007960202,"CensusTract9602.02,ChelanCounty,Washington",58828,78750,83813,48495,45.2,27.700000000000003,15.1,11.1,0.8,39.6,23.9,22.4,12.8,1.2,37.1,25.4,22.6,13.5,1.3,61.7,30.7,0.0,7.6,0.0,1615,"[0.52204586 0.74581431 0.44120708 0.46808511 0.68794326 0.36
 0.41588785 0.40929204]",0.5062844366824646
1400000US53007960203,"CensusTract9602.03,ChelanCounty,Washington",58500,65778,65667,32941,42.9,32.1,11.0,1.2,12.7,29.5,43.3,9.8,1.5,16.0,31.6,39.1,10.5,1.6,17.1,96.4,3.7,0.0,0.0,0.0,1617,"[0.52118644 0.21684211 0.63201912 0.48554913 0.40425532 0.49475262
 0.39059305 0.56140351 0.32589839]",0.4480555202798207
1400000US53007960301,"CensusTract9603.01,ChelanCounty,Washington",63750,66311,66738,-,41.2,27.6,16.4,8.3,6.5,34.2,35.7,20.8,9.3,0.0,36.3,36.3,16.1,11.3,0.0,54.6,12.0,8.0,6.4,19.1,1620,"[0.4202509  0.58982684 0.76986584 0.33333333 0.66836735 0.7621195
 0.49235474 0.61899791]",0.5818895516942428
1400000US53007960302,"CensusTract9603.02,ChelanCounty,Washington",59397,59754,68287,54740,30.3,43.8,13.4,9.1,3.3,34.0,34.1,19.2,7.9,4.7,23.8,39.400000000000006,22.2,9.1,5.5,21.7,66.4,0.0,11.9,0.0,1623,[0.41881639 0.75427873 0.47987288 0.63835264 0.77216117 0.25      ],0.5522469681572457
1400000US53007960303,"CensusTract9603.03,ChelanCounty,Washington",50920,105731,106604,13595,46.3,20.5,16.6,3.9,12.8,24.0,22.4,26.8,6.2,20.6,16.9,24.5,29.3,6.8,22.5,82.60000000000001,17.4,0.0,0.0,0.0,1626,[0.25806452 0.67906067 0.52401747 0.44191344],0.4757640220938777
1400000US53007960400,"CensusTract9604,ChelanCounty,Washington",51719,55801,57115,34153,46.9,34.4,12.5,3.3,3.0,39.8,37.3,14.6,4.9,3.4,40.8,41.6,5.8,7.1,4.9,60.2,29.0,8.3,0.0,2.3,1628,[0.63162544 0.42059146 0.46875    0.42394015],0.4862267620145208
1400000US53007960501,"CensusTract9605.01,ChelanCounty,Washington",69545,67614,81450,-,35.7,35.5,18.9,2.1,7.8,39.6,24.1,24.7,2.8,8.8,25.0,32.3,25.4,4.2,13.2,59.1,36.0,0.0,0.0,4.9,1636,"[0.40322581 0.27118644 0.56146179 0.42203742 0.1875     0.3030303
 0.47465438 0.55797101 0.33975482 0.81876607 0.54011461 0.44285714]",0.4435466497981638
1400000US53007960502,"CensusTract9605.02,ChelanCounty,Washington",90273,73359,93534,-,28.6,30.1,28.5,12.5,0.4,24.200000000000003,36.8,23.3,15.4,0.3,19.2,35.8,30.9,13.8,0.5,47.7,47.7,3.7,0.0,0.8,1638,"[0.34243176 0.4        0.72391992 0.31023102 0.62656073 0.45276074
 0.1        0.40740741 0.33940774 0.35051546 0.40773286 0.39615385
 0.66374269 0.71574642 0.28317659]",0.4346524796739562
1400000US53007960600,"CensusTract9606,ChelanCounty,Washington",52440,65368,74125,25000,48.4,29.2,11.1,9.5,1.7,31.4,37.4,18.1,10.6,2.6,25.9,35.4,20.9,14.3,3.6,80.4,16.4,0.0,3.2,0.0,1641,"[0.59343434 0.3747495  0.5273523  0.39084507 0.49327354 0.18181818
 0.68636797]",0.4639772720516726
1400000US53007960700,"CensusTract9607,ChelanCounty,Washington",100444,102266,111413,64449,16.6,32.0,30.1,12.2,9.2,14.2,27.2,33.5,15.2,9.9,7.199999999999999,30.0,35.7,15.8,11.4,38.3,44.2,9.2,1.5,6.8,1643,"[0.38493435 0.58487247 0.46163522 0.40909091 0.4        0.69047619
 0.38666667 0.47722772 0.42970822 0.7109589  0.275      0.52739726
 0.125     ]",0.4509975318975185
1400000US53007960801,"CensusTract9608.01,ChelanCounty,Washington",72036,78594,93958,33464,29.2,31.1,12.8,11.5,15.3,21.700000000000003,34.9,14.3,11.1,18.0,15.6,35.5,14.5,12.1,22.3,67.2,12.2,6.9,13.8,0.0,1646,"[0.51162791 0.69908815 0.40771028 0.32753623 0.46354566 0.43318486
 0.32883241 0.3253012  0.49665924 0.73344371 0.375      0.45881007
        nan]",
1400000US53007960803,"CensusTract9608.03,ChelanCounty,Washington",42298,60647,69205,36449,58.1,27.8,13.1,0.0,1.0,43.900000000000006,39.400000000000006,15.1,0.0,1.5,23.9,48.6,25.1,0.0,2.4,73.1,17.4,8.9,0.0,0.7,1647,[0.3818408  0.56538462 0.32572777 0.4346378  0.27692308 0.52710843],0.4186037495501842
1400000US53007960804,"CensusTract9608.04,ChelanCounty,Washington",58724,62047,82375,48846,41.400000000000006,36.9,15.1,4.9,1.5,40.400000000000006,31.9,22.8,3.6,1.2,31.4,31.6,30.6,4.8,1.6,51.0,37.9,1.9,7.2,1.9,1648,"[0.51206434 0.41312741 0.74137931 0.4        0.25       0.30755396
 0.4684432  0.30510315 0.53277545]",0.4367163136950195
1400000US53007961001,"CensusTract9610.01,ChelanCounty,Washington",58511,59007,59159,47091,43.3,33.3,10.8,6.8,5.9,35.5,32.7,17.8,11.8,2.2,19.4,56.400000000000006,17.2,6.9,0.0,51.2,31.0,5.9,3.3,8.4,1651,[0.46112311 0.56349206],0.5123075868216257
1400000US53007961002,"CensusTract9610.02,ChelanCounty,Washington",35755,44447,81719,31731,65.5,26.5,3.1,5.0,0.0,51.89999999999999,29.5,4.9,13.7,0.0,28.4,38.6,8.6,24.4,0.0,75.3,24.7,0.0,0.0,0.0,1652,[0.38519924 0.68965517 0.5009901  0.63100437],0.5517122198056597
1400000US53007961101,"CensusTract9611.01,ChelanCounty,Washington",43227,48977,54459,33824,60.3,23.5,11.5,3.0,1.6,50.4,36.5,10.8,0.0,2.3,42.6,44.8,9.1,0.0,3.4,84.1,5.6,0.0,10.3,0.0,1653,[0.6677116  0.6461794  0.40897756 0.57632399 0.56309148],0.5724568054075891
1400000US53007961102,"CensusTract9611.02,ChelanCounty,Washington",63750,73713,75214,37448,34.2,46.5,11.9,2.7,4.7,27.1,52.9,14.1,1.2,4.6,22.5,55.7,17.2,1.8,2.9,67.69999999999999,25.2,2.0,0.0,5.2,1655,"[0.5        0.59981768 0.50243112 0.45454545 0.6011236  0.52649573
 0.5136612  0.20921305 0.53731343]",0.4938445851445113
1400000US53007961200,"CensusTract9612,ChelanCounty,Washington",83948,89934,102262,40739,32.9,22.1,29.4,7.6,8.2,25.6,24.6,31.1,9.7,9.1,24.5,23.9,31.3,10.4,9.9,71.0,8.8,20.3,0.0,0.0,1657,"[0.30687204 0.57474747 0.44459279 0.30898876 0.33367769 0.47636364
 0.34883721 0.5129683  0.46226415 0.3657754  0.19753086 0.42424242
 0.47003155 0.27640449 0.25      ]",0.3835531185999134
