Geography,Geographic Area Name,Estimate!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),"House Hold Less than $50,000","House Hold $50,000 to $99,999","House Hold $100,000 to $149,999","House Hold $150,000 to $199,999","House Hold $200,000 or more","Families Less than $50,000","Families $50,000 to $99,999","Families $100,000 to 149,999","Families $150,000 to $199,999","Families $200,000 or more","Married-couple Families Less than $50,000","Married-couple Families $50,000 to $99,999","Married-couple Families $100,000 to 149,999","Married-couple Families $150,000 to $199,999","Married-couple Families $200,000 or more","Nonfamily households Less than $50,000","Nonfamily households $50,000 to $99,999","Nonfamily households $100,000 to 149,999","Nonfamily households $150,000 to $199,999","Nonfamily households $200,000 or more",Vote Count,Biden_proportion,average_Biden_proportion
1400000US53041971700,"CensusTract9717,LewisCounty,Washington",47208,64344,66912,31605,51.5,32.2,7.9,5.9,2.7,35.8,41.0,12.0,7.2,3.9,34.6,41.1,11.9,8.1,4.4,74.2,20.0,0.9,3.9,1.0,1719,"[0.73429084 0.30402385 0.56904762 0.29787234 0.68303571 0.29113924
 0.5027027  0.28947368 0.20435967]",0.4306606292240558
1400000US53041971800,"CensusTract9718,LewisCounty,Washington",57040,66046,67347,23182,43.0,35.1,13.1,8.0,0.8,31.7,44.6,20.3,2.3,1.2,28.9,47.4,19.2,3.0,1.5,71.2,22.5,4.0,2.2,0.0,1721,[0.24399261 0.27027027 0.47550432 0.44230769 0.27290076 0.33412322],0.3398498129561308
1400000US53041971900,"CensusTract9719,LewisCounty,Washington",48068,52500,56138,19784,50.8,40.0,8.9,0.0,0.3,44.3,44.2,11.1,0.0,0.4,38.1,48.0,13.3,0.0,0.5,76.8,23.2,0.0,0.0,0.0,1723,[0.48668639 0.29579832 0.2079566 ],0.330147103407313
1400000US53041972000,"CensusTract9720,LewisCounty,Washington",40821,44618,50364,29387,63.5,32.9,3.6,0.0,0.0,56.3,37.8,5.8,0.0,0.0,48.6,44.1,7.2,0.0,0.0,82.0,18.1,0.0,0.0,0.0,1725,[0.42496285 0.34525939 0.2675737  0.46073298 0.4511041 ],0.3899266052106369
1400000US53043960100,"CensusTract9601,LincolnCounty,Washington",55491,60429,61810,27054,43.7,40.8,7.4,6.9,1.2,32.8,49.5,5.6,10.3,1.7,23.7,56.3,6.9,12.5,0.7,71.80000000000001,21.4,6.7,0.0,0.0,1606,[0.28966223],0.2896622313203685
1400000US53043960200,"CensusTract9602,LincolnCounty,Washington",62000,82708,83750,36375,43.6,25.700000000000003,17.9,9.3,3.5,33.7,27.4,22.0,12.3,4.6,32.1,28.5,23.9,10.5,5.1,74.4,20.3,5.2,0.0,0.0,1613,"[0.62091503 0.18461538 0.28225806 0.23566879 0.25974026 0.19884726
 0.39215686 0.15492958 0.28089888 0.29885057 0.15151515 0.2027027
 0.57475083 0.33986928 0.19354839 0.21395349 0.16564417]",0.2794626292948053
1400000US53043960300,"CensusTract9603,LincolnCounty,Washington",67500,83071,85750,30625,35.4,37.8,14.2,9.1,3.6,24.6,40.6,17.4,12.3,5.0,19.7,42.1,19.5,14.7,4.0,62.400000000000006,36.0,1.6,0.0,0.0,1619,"[0.25795053 0.28       0.62643678 0.38265306 0.264      0.2962963
 0.13076923 0.20945946 0.33333333 0.2826087  0.2877907  0.23913043
 0.21538462 0.14772727]",0.2823957434963164
1400000US53043960400,"CensusTract9604,LincolnCounty,Washington",53314,58983,63594,35357,47.4,33.7,11.5,4.3,3.0,42.5,31.4,16.0,5.4,4.8,37.0,31.6,19.2,6.4,5.8,62.9,31.8,2.7,2.5,0.0,1629,"[0.268      0.24951644 0.22222222 0.07692308 0.12903226 0.33463035
 0.17391304 0.09090909 0.13445378 0.05       0.16363636 0.15384615
 0.08823529 0.14285714 0.27941176 0.232     ]",0.1743491864670823
1400000US53045940000,"CensusTract9400,MasonCounty,Washington",52396,54688,63000,38750,44.900000000000006,36.0,16.9,0.4,1.8,38.3,41.2,18.8,0.6,1.2,36.8,33.7,26.5,1.0,2.0,69.19999999999999,20.0,7.3,0.0,3.6,1472,[0.82899628 0.60064935],0.7148228165886159
1400000US53045960100,"CensusTract9601,MasonCounty,Washington",67989,77564,78301,-,38.0,43.6,13.6,4.4,0.5,29.5,43.7,19.7,6.3,0.8,24.700000000000003,46.2,22.0,7.0,0.0,56.6,43.3,0.0,0.0,0.0,1607,[0.55439924 0.54054054],0.5474698918407528
1400000US53045960202,"CensusTract9602.02,MasonCounty,Washington",52764,64435,66750,31547,47.0,36.9,8.8,7.2,0.1,29.4,46.400000000000006,9.6,14.5,0.1,22.4,49.8,11.1,16.7,0.2,66.3,25.9,7.9,0.0,0.0,1616,[0.44868035 0.42742857 0.36764706 0.40246212],0.4115545258425951
1400000US53045960301,"CensusTract9603.01,MasonCounty,Washington",59111,88125,69894,-,41.5,24.4,19.8,9.7,4.6,24.3,33.5,25.2,13.7,3.3,28.7,33.7,16.1,17.2,4.2,82.6,2.8,7.0,0.0,7.7,1621,[0.51538462 0.45004129],0.4827129517880962
1400000US53045960302,"CensusTract9603.02,MasonCounty,Washington",55257,61993,64241,45833,42.0,38.7,14.4,3.8,1.3,39.1,35.8,19.5,3.4,2.2,34.2,37.2,21.9,4.0,2.5,51.4,40.900000000000006,3.5,4.3,0.0,1624,[0.37855946 0.37321429],0.3758868748504427
1400000US53045960401,"CensusTract9604.01,MasonCounty,Washington",62495,62448,74153,-,28.8,35.099999999999994,18.1,11.4,6.7,25.700000000000003,38.8,15.6,14.2,5.7,19.7,40.0,17.7,16.1,6.5,59.5,23.8,6.0,0.0,10.7,1631,[0.4859675  0.44809461 0.42061611],0.4515594099296687
1400000US53045960402,"CensusTract9604.02,MasonCounty,Washington",80408,82270,82449,45462,34.5,30.700000000000003,23.4,11.4,0.0,25.3,33.7,26.7,14.3,0.0,23.9,35.7,24.1,16.2,0.0,71.0,19.0,10.1,0.0,0.0,1632,[0.39948231],0.3994823123382226
1400000US53045960403,"CensusTract9604.03,MasonCounty,Washington",69077,74648,96981,41781,35.7,37.3,17.4,7.7,1.8,11.9,52.5,29.1,3.4,3.0,9.2,43.2,39.0,4.6,4.1,71.19999999999999,14.8,0.0,14.1,0.0,1633,[0.46875    0.44196429 0.47875108],0.4631551232808821
1400000US53045960500,"CensusTract9605,MasonCounty,Washington",70649,85729,85859,44115,35.7,39.1,9.1,7.4,8.8,23.5,46.400000000000006,13.7,7.4,8.8,23.9,48.0,11.9,6.6,9.7,58.1,25.4,5.9,1.7,8.7,1635,[0.48885587 0.51325557 0.26442308 0.43821656 0.5227656  0.50187266],0.4548982219733449
1400000US53045960600,"CensusTract9606,MasonCounty,Washington",71793,73547,104659,45339,32.7,33.8,18.2,10.5,4.6,31.700000000000003,29.200000000000003,19.6,13.5,6.0,18.4,29.3,25.4,18.7,8.3,67.2,28.0,4.7,0.0,0.0,1642,[0.42696629        nan 0.6        0.52816901],
1400000US53045960700,"CensusTract9607,MasonCounty,Washington",52083,48309,77813,38125,48.8,30.4,16.8,0.7,3.4,53.1,20.3,22.2,1.1,3.3,33.9,26.8,30.9,2.1,6.2,59.2,38.2,2.6,0.0,0.0,1644,[0.51972556 0.56521739],0.5424714743828771
1400000US53045960800,"CensusTract9608,MasonCounty,Washington",33056,49511,80208,24767,62.69999999999999,27.1,2.2,4.2,3.8,50.6,32.1,5.3,5.1,6.9,30.3,39.7,9.3,8.8,12.0,78.7,19.700000000000003,0.0,1.7,0.0,1645,[0.55424528],0.5542452830188679
1400000US53045960900,"CensusTract9609,MasonCounty,Washington",55000,55357,63021,43750,46.6,33.5,18.7,1.2,0.0,48.0,29.700000000000003,20.6,1.8,0.0,39.2,31.3,25.8,3.5,0.0,50.7,43.4,5.7,0.0,0.0,1649,[0.55283505 0.48003132 0.52696729 0.42384106],0.495918680037817
1400000US53045961000,"CensusTract9610,MasonCounty,Washington",70603,85833,105678,33750,35.9,29.200000000000003,22.6,9.1,3.1,26.0,28.4,28.9,13.3,3.4,20.1,24.8,34.7,16.3,4.2,57.1,34.2,7.7,0.0,1.0,1650,[0.50176367 0.15079365 0.43049705],0.361018123538015
1400000US53045961101,"CensusTract9611.01,MasonCounty,Washington",59857,71714,79183,22230,40.9,46.400000000000006,7.7,2.8,2.2,24.8,55.1,12.1,4.5,3.5,15.1,56.0,17.4,6.5,5.0,82.5,17.4,0.0,0.0,0.0,1654,[0.58754864],0.5875486381322957
1400000US53045961102,"CensusTract9611.02,MasonCounty,Washington",57135,74469,89279,45250,41.8,32.8,17.8,3.7,3.8,29.4,45.5,16.4,6.0,2.7,16.200000000000003,49.6,21.6,8.5,3.9,62.5,15.1,16.7,0.0,5.7,1656,[0.48426708 0.45319149 0.30944625 0.47272727],0.4299080230347868
1400000US53045961200,"CensusTract9612,MasonCounty,Washington",77989,91000,101399,39534,33.099999999999994,32.3,25.1,7.7,1.9,25.1,31.1,31.2,9.7,2.7,14.7,32.5,35.4,13.6,3.7,55.4,29.9,11.5,3.2,0.0,1658,[0.46199525 0.5       ],0.4809976247030879
1400000US53045961300,"CensusTract9613,MasonCounty,Washington",61141,82065,95000,45795,39.400000000000006,32.9,22.6,1.9,3.1,32.2,26.4,33.7,2.9,4.8,20.2,30.200000000000003,39.3,3.9,6.5,53.900000000000006,45.6,0.4,0.0,0.0,1659,[0.47603028 0.65050167 0.42787286],0.5181349368068847
